29,27
29,26
29,26
28,26
27,26
28,27
27,27
27,28
27,28
28,30
28,31
30,34
31,38
33,42
36,63
38,77
43,105
45,121
45,136
46,141
45,137
43,116
41,103
41,94
45,64
53,60
77,49
93,48
108,46
135,43
146,42
159,43
161,44
151,44
138,41
138,41
120,39
112,37
104,35
99,33
87,31
75,31
66,30
67,29
63,29
61,29
54,29
50,29
50,29
50,29
28,36
29,39
29,40
29,42
31,44
31,49
34,56
35,59
35,61
36,64
37,74
38,83
38,84
39,77
39,75
40,74
40,67
40,68
39,60
38,59
37,59
36,62
36,58
36,58
34,52
33,48
33,46
33,44
33,42
32,39
31,34
33,32
38,32
44,33
73,35
87,36
98,37
116,39
121,38
110,37
96,35
85,33
67,31
61,30
48,29
51,28
52,28
51,28
49,27
50,27
27,25
27,26
27,26
27,26
27,27
27,27
27,27
26,26
26,27
26,27
26,28
26,28
27,30
28,33
29,36
29,39
30,40
32,44
33,45
34,47
34,47
34,46
34,43
34,41
33,38
32,37
31,33
30,31
32,30
36,29
38,28
39,28
44,28
48,29
52,29
55,30
57,30
59,29
58,30
55,29
55,29
52,29
45,28
43,28
43,28
42,27
41,26
40,26
38,26
36,26
30,26
29,26
30,26
30,26
30,26
30,26
31,26
31,26
31,26
31,26
31,26
31,27
31,28
31,30
32,35
34,38
36,46
36,50
36,54
38,58
39,60
39,61
40,60
40,60
39,56
38,50
38,47
38,45
36,42
35,35
35,33
44,31
53,30
61,31
77,32
81,33
95,35
97,35
103,35
98,34
91,33
82,31
78,30
73,29
57,28
53,28
46,27
44,28
44,27
40,27
28,28
28,27
28,28
28,28
29,28
29,28
29,28
30,29
30,29
29,30
29,31
29,33
30,37
31,40
33,45
34,47
35,51
38,53
39,57
38,57
38,55
38,52
36,47
34,44
32,38
31,35
33,33
37,31
39,32
48,31
54,31
57,32
61,32
63,32
63,31
60,31
56,31
56,31
54,31
51,30
49,30
48,29
46,29
45,28
42,28
41,27
40,27
37,27
36,27
34,28
28,29
28,30
28,30
29,30
29,30
29,31
28,31
29,31
29,32
29,35
30,36
31,39
31,40
32,42
33,44
33,45
34,45
34,46
34,46
34,44
33,42
33,40
31,37
32,33
34,32
39,30
41,30
46,31
48,31
50,31
51,31
51,30
49,30
48,30
47,30
47,30
48,30
44,31
43,30
42,30
41,30
41,30
40,29
40,29
41,30
41,29
40,29
38,30
39,30
38,30
28,32
28,33
28,33
28,33
28,33
28,33
28,34
29,38
30,39
33,43
33,46
35,47
37,51
37,50
37,49
37,47
35,45
33,40
33,39
30,34
30,32
30,31
31,29
32,29
